place;COMMUNE;prix;date_end;date_start;Etoiles
10 rue du Port Vieux;;BIARRITZ;216;17/12/2024;10/12/2024;2
18 rue Gambetta;;BIARRITZ;283;18/10/2023;09/10/2023;1
18-24 rue de Québec;;ROUEN;131;03/04/2022;24/03/2022;2
3 Boulervard du Mont d'Est;;NOISY-LE-GRAND;139;15/05/2023;09/05/2023;5
17-25 Rue Guerda Taro;;PARIS 13E ARRONDISSEMENT;248;07/11/2024;28/10/2024;3
17 Rue Gerda Taro;;PARIS 13E ARRONDISSEMENT;105;30/10/2024;24/10/2024;5
Plage de la Source;;PORNIC;290;30/09/2024;24/09/2024;3
11 rue Sommeiller;;ANNECY;192;24/05/2022;16/05/2022;4
Carrefour de la Vierge;;OTTMARSHEIM;83;21/08/2022;11/08/2022;4
14 rue Heiligenberg Gare;;GRESSWILLER;163;19/10/2023;12/10/2023;2
ZAE Desmariniere;;SAINT LAURENT DU MARONI;200;19/03/2024;11/03/2024;4
19 allée d'Étigny;;BAGNÈRES-DE-LUCHON;274;10/02/2022;01/02/2022;3
30 avenue Georges Clémenceau;;MONT-DORE;65;03/07/2022;27/06/2022;3
24 boulevard des pyrénées;;OLORON-SAINTE-MARIE;286;07/12/2022;29/11/2022;3
8 Rue de la Maison Suisse;;BIARRITZ;161;25/12/2024;16/12/2024;2
L'HOSPITALET;;ROCAMADOUR;105;27/07/2022;22/07/2022;4
98 avenue d'Italie;;PARIS 13E ARRONDISSEMENT;159;09/07/2022;29/06/2022;3
Route de Paris;;TOUQUES;109;29/03/2022;24/03/2022;2
60 rue de malitorne;;SAINT-DOULCHARD;71;10/04/2024;02/04/2024;5
190 chemin des Cottages;;PARENTIS-EN-BORN;221;12/05/2022;04/05/2022;4
6 Rue Baudin;;MONTPELLIER;88;28/10/2024;21/10/2024;3
770 Rue Yves Kermen;;BOULOGNE-BILLANCOURT;135;25/01/2025;15/01/2025;2
46 rue des mousses;;MARSEILLE;143;29/10/2024;22/10/2024;3
10 boulevard Jean Jaurès;;NICE;279;19/08/2021;13/08/2021;4
272 avenue du verdon;;GRÉOUX-LES-BAINS;220;17/09/2022;08/09/2022;3
Route du Fort;;GROSSETO-PRUGNA;129;20/12/2021;15/12/2021;4
16 rue de Montreuil;;VINCENNES;91;06/04/2022;28/03/2022;3
8 RUE DE L'ESPERANCE;;ROISSY-EN-FRANCE;176;07/05/2024;30/04/2024;4
1 Rue Vandel;;MARSEILLE 8E ARRONDISSEMENT;180;17/01/2023;12/01/2023;3
114 Avenue Daumesnil;;PARIS 12E ARRONDISSEMENT;169;05/10/2023;25/09/2023;2
6 rue de la Blanche Hermine;;VERN-SUR-SEICHE;160;08/11/2024;29/10/2024;5
29 rue des Capucins;;LE PUY-EN-VELAY;259;05/05/2024;25/04/2024;3
11 avenue du Belvédère;;ENVEITG;229;21/01/2022;14/01/2022;3
25-43 boulevard de la Gare;;LA PENNE-SUR-HUVEAUNE;268;21/01/2022;14/01/2022;2
16 allée des Tilleuls;;SAINT-MACAIRE;149;23/01/2024;16/01/2024;4
70 avenue de France;;PARIS;132;06/03/2024;27/02/2024;5
PIace de Mescoat;;LANDERNEAU;288;18/12/2024;12/12/2024;1
89 boulevard de la Plage;;ARCACHON;156;21/07/2022;11/07/2022;2
13 rue du 11 novembre 1918;;VIERZON;170;17/12/2021;10/12/2021;3
Chemin du camping;;PRIVAS;180;10/10/2022;30/09/2022;2
46 rue beauparlant;;VICHY;260;07/04/2022;28/03/2022;1
2 Rue Charlie  Chaplin;;ARLES;225;06/09/2023;29/08/2023;4
Rue Saint Exupery;;BOURG-ACHARD;290;13/02/2024;08/02/2024;4
1 la billardais des Alleux, Route de Ploubalay 22100 DINAN;;TADEN;181;01/02/2025;24/01/2025;1
3 rue de Penfoul;;BÉNODET;184;02/11/2022;28/10/2022;1
65 rue de la Buffa;;NICE;149;22/12/2020;16/12/2020;2
19 quai de la Loire;;ROCHECORBON;297;17/01/2024;09/01/2024;2
136 boulevard de Grenelle;;PARIS;155;27/03/2024;22/03/2024;3
11 parc des conchettes;;BRIOUDE;266;23/09/2020;16/09/2020;5
29 rue du Chartres;;ARTENAY;177;27/09/2022;19/09/2022;2
27 Boulevard Robert Jarry;;LE MANS;180;18/08/2022;09/08/2022;1
19 rue Vaugelas;;ANNECY;269;02/03/2022;21/02/2022;2
3 quai Carnot;;L'ÎLE-D'YEU;237;07/12/2022;01/12/2022;4
44 rue de Londres;;PARIS;182;10/10/2020;02/10/2020;5
5 promenade Georges Godet;;LES SABLES-D'OLONNE;267;04/03/2021;23/02/2021;1
11 rue de la Sablière;;SAINT-PIERRE-D'OLÉRON;220;16/10/2023;09/10/2023;1
222 avenue Jean Mermoz;;PAU;266;29/03/2024;20/03/2024;3
31 boulevard de Beaumont;;RENNES;127;01/01/2023;22/12/2022;2
76 avenue de la Muzelle;;MONT-DE-LANS;89;02/03/2022;22/02/2022;1
21 rue d 'Athènes;;PARIS;195;29/03/2024;19/03/2024;5
923 boulevard de la mer;;FRÉJUS;168;22/12/2022;16/12/2022;2
5 Rue d'Oslo;;BERNOLSHEIM;105;13/10/2024;07/10/2024;4
20 rue Jean-Louis Barrault;;VALENCE;276;30/12/2021;21/12/2021;5
20 rue villeneuve;;CLICHY;246;04/12/2022;29/11/2022;2
Rue de l'Abbaye;;OISY-LE-VERGER;253;15/10/2023;10/10/2023;1
15 place saint jacques;;DIEPPE;295;28/07/2023;21/07/2023;4
95 avenue de Selves;;SARLAT-LA-CANÉDA;156;29/05/2024;22/05/2024;3
224 boulevard de Tessé;;TOULON;178;11/06/2021;03/06/2021;4
2 allée des Passereaux;;LES MATHES;133;11/06/2022;02/06/2022;3
23 rue de l'Yser;;ARGELÈS-GAZOST;278;24/07/2024;17/07/2024;1
22 boulevard Jean Jaurès;;CARCASSONNE;247;08/11/2021;02/11/2021;2
12 grand rue;;EGUISHEIM;279;21/07/2023;12/07/2023;2
37 avenue du révérend père Umbricht;;SAINT-MALO;187;30/12/2023;21/12/2023;4
1050 CHEMIN BAS;;ANDUZE;164;18/01/2024;09/01/2024;1
166 chemin du tour du lac;;GÉRARDMER;246;01/05/2024;23/04/2024;2
5 route du Moulin;;CONQUES-EN-ROUERGUE;227;26/03/2022;18/03/2022;1
63 avenue de galleben;;SOUSTONS;281;08/10/2022;29/09/2022;2
104 RUE DE CHOLET;;DOUÉ-LA-FONTAINE;110;30/05/2024;21/05/2024;5
33 avenue pasteur;;ANTIBES;191;16/12/2024;09/12/2024;5
2 avenue de Vichy;;SAINT-YORRE;87;24/10/2022;14/10/2022;3
10 route de Buesle;;BUELLAS;196;19/03/2022;14/03/2022;4
2 place Duguesclin;;LA ROCHE-BERNARD;248;28/11/2022;21/11/2022;5
L'Eglise;;GRESSE-EN-VERCORS;249;27/12/2022;22/12/2022;2
5 Route de la Grange au Gui;;MOIRANS-EN-MONTAGNE;136;18/03/2024;11/03/2024;1
35 route de mimizan;;ONESSE-LAHARIE;97;01/08/2024;23/07/2024;2
route d'Arles;;SAINTES-MARIES-DE-LA-MER;143;25/05/2023;15/05/2023;3
149 avenue du nid;;SANARY-SUR-MER;161;07/03/2024;27/02/2024;2
2, Place Robert Schumann;;BAERENTHAL;199;22/01/2025;13/01/2025;4
12 rue de Molène;;PLEUMEUR-BODOU;237;03/07/2023;26/06/2023;2
14 Bis rue de Roubaix;;SAINT-ÉTIENNE;90;04/09/2024;26/08/2024;1
7 rue finkmatt;;STRASBOURG;257;03/08/2023;24/07/2023;4
2B rue de Madrid;;NANTES;120;11/03/2024;05/03/2024;5
Place du Château;;AVÈZE;261;02/10/2022;26/09/2022;1
alzeto;;ZONZA;249;11/08/2023;03/08/2023;2
109 avenue Pierre de Coubertin;;LAVAL;75;31/05/2023;24/05/2023;4
20 esplanade Nathalie Sarraute;;PARIS 18E ARRONDISSEMENT;112;15/05/2023;10/05/2023;5
La Jonchère;;CHAMPAGNAT;86;17/02/2024;09/02/2024;5
1 RUE PAUL LOUIS GRENIER;;GUÉRET;82;29/10/2024;21/10/2024;2
3 rue des capucins;;IS-SUR-TILLE;267;29/11/2022;21/11/2022;1
795 route de la Correrie;;AILLON-LE-JEUNE;152;08/01/2024;03/01/2024;4
Route de Bagnoles de l'Orne;;LA FERTÉ MACÉ;223;30/12/2022;22/12/2022;5
1 Place du Lavoir;;ARANC;120;27/04/2023;21/04/2023;3
3 place Arthur Lavy;;ARGONAY;242;08/08/2024;01/08/2024;2
route de Dijon;;TONNERRE;115;28/03/2023;22/03/2023;2
Les gervais;;GORDES;207;24/05/2023;16/05/2023;4
LIEU-DIT CARTASSAC;;SARRAZAC;113;02/06/2024;23/05/2024;5
rue des moulins;;CHANTEUGES;154;03/06/2024;28/05/2024;1
173 rue Gabriel Chevallier;;VAUX-EN-BEAUJOLAIS;197;19/03/2022;10/03/2022;1
Le Village;;GERM;248;01/03/2022;24/02/2022;5
42 route de Kerveoch;;DOUARNENEZ;83;13/10/2024;07/10/2024;3
15 rue du commerce;;THIRON GARDAIS;127;15/05/2024;06/05/2024;4
Le Bourg;;SAINT-PONCY;115;07/01/2023;02/01/2023;3
La Malène;;LA MALÈNE;286;26/06/2021;21/06/2021;4
12 rue du Marché;;URT;129;31/07/2024;23/07/2024;4
9 route de la Gare;;MAGNAC-BOURG;298;09/12/2022;01/12/2022;5
52 Route Nationale 6;;ROSOY;149;06/12/2024;28/11/2024;2
Le Village;;SAINT-LARY;281;03/05/2022;25/04/2022;5
129 avenue de la gare;;DOMPIERRE-SUR-BESBRE;249;10/05/2023;04/05/2023;3
2 Rue De Bretagne;;BOUILLÉ-MÉNARD;155;18/09/2023;12/09/2023;5
Le bourg;;CREYSSE;93;27/10/2022;17/10/2022;2
La Bonde;;SAINT-MICHEL-SUR-LOIRE;203;20/03/2022;10/03/2022;3
18 rue du Docteur Barbanneau;;POUZAUGES;212;16/06/2022;08/06/2022;2
36 Route des Montils;;CANDÉ-SUR-BEUVRON;171;18/05/2023;09/05/2023;4
saint chely du tarn;;SAINTE-ENIMIE;196;08/11/2022;02/11/2022;5
18 chemin des Faïsses;;SAINT-MAURICE-NAVACELLES;202;23/04/2024;15/04/2024;3
Chaume de Balveurche;;XONRUPT-LONGEMER;166;19/05/2023;09/05/2023;2
2 rue porte brunet;;SAINT-ÉMILION;140;17/11/2022;07/11/2022;5
551 route d'Alès;;LABLACHÈRE;136;07/12/2022;30/11/2022;3
118 place de l’église;;MARCILLY-EN-VILLETTE;158;24/12/2022;15/12/2022;3
3700 Route de la Croix Perrin;;LANS-EN-VERCORS;230;01/02/2019;22/01/2019;5
121 route de Pré la Joux;;CHÂTEL;252;19/05/2024;14/05/2024;1
Forêt De Bonifato;;CALENZANA;152;03/07/2022;24/06/2022;5
hameau les cours;;AURIS;243;07/07/2023;27/06/2023;2
La Gabrière;;LINGÉ;186;19/05/2023;09/05/2023;4
Le Bourg;;SAINT-LAUNEUC;251;14/03/2022;09/03/2022;1
2 rue du 8 mai;;LES COMBES;63;20/02/2022;10/02/2022;3
fongauffier;;SAGELAT;296;17/06/2024;12/06/2024;2
58 rue la Paillère;;LAVOURS;122;24/07/2020;15/07/2020;4
3 rue Porte Méane;;BRIANÇON;170;15/01/2020;06/01/2020;2
route de belvès;;SIORAC-EN-PÉRIGORD;228;05/10/2023;29/09/2023;5
13-15 route de la Plaine;;LA ROTHIÈRE;153;09/02/2022;04/02/2022;5
12 place de gennes;;DOUÉ-LA-FONTAINE;247;27/06/2023;21/06/2023;4
Chemin du Moulin;;BARNEVILLE-LA-BERTRAN;134;15/11/2022;10/11/2022;4
2 rue Marcel Bailly;;MENNETOU-SUR-CHER;246;21/03/2022;16/03/2022;5
133 GRAND RUE;;SAUZET;150;04/09/2024;26/08/2024;1
2 rue d'Amboise;;SAINT-MARTIN-LE-BEAU;164;27/03/2022;18/03/2022;5
58 rue de la République;;LE MEUX;263;22/11/2022;14/11/2022;5
Montauban;;LE GOSIER;112;20/11/2022;14/11/2022;5
1 place thomas et robert bugeaud;;LANOUAILLE;254;30/12/2022;23/12/2022;1
185, rue du milieu;;MONTORY;146;11/07/2024;05/07/2024;4
158 route de Tours;;MULSANNE;229;20/08/2020;10/08/2020;1
24 rue Carnot;;ROMILLY-SUR-SEINE;177;08/12/2022;30/11/2022;2
route de châteaurenard;;NOVES;193;07/11/2022;28/10/2022;1
12 boulevard Mirabeau;;SAINT-RÉMY-DE-PROVENCE;136;04/04/2022;29/03/2022;5
23 rue du Pontel;;SAINT-VIANCE;95;15/02/2022;09/02/2022;5
Domaine de Saugras;;ARGELLIERS;119;17/02/2022;11/02/2022;3
77 route Romaine;;TAVEL;231;15/07/2022;08/07/2022;3
15, rue Edouard MARTY;;TOURNEMIRE;88;17/06/2023;12/06/2023;4
56 Route de la Dolomie;;MOURÈZE;282;26/09/2022;19/09/2022;3
8 Place du 11 Novembre 1918;;LES AVENIÈRES;136;04/04/2024;27/03/2024;5
90 avenue de tarascon;;FONTVIEILLE;219;20/03/2020;11/03/2020;2
guagno les bains;;POGGIOLO;228;07/12/2022;01/12/2022;5
22 place d'armes;;HYÈRES;150;18/06/2024;12/06/2024;1
81 route du Mont;;SERVOZ;256;28/06/2021;23/06/2021;4
3 chemin de l'Auberge;;AYDIUS;271;14/05/2022;09/05/2022;2
4 Rue du jeu de quille;;CLÉRAC;76;24/10/2022;17/10/2022;1
bois barbu;;VILLARD-DE-LANS;286;08/11/2022;02/11/2022;4
Les Gorses;;SAINT-BONNET-LE-FROID;106;27/09/2021;21/09/2021;4
1391 Chemin du Vieux moulin;;TOURRETTES;290;14/02/2022;04/02/2022;4
95 route de Vals;;AUBENAS;300;24/05/2024;17/05/2024;5
17 place de la mairie;;JOUY-LE-POTIER;165;22/12/2023;14/12/2023;1
Route De La Mongie;;CAMPAN;106;29/12/2022;20/12/2022;4
2-4 Carrefour aux Toiles;;LAVAL;292;06/05/2024;29/04/2024;2
18 rue Sainte Catherine;;LES SALLES-SUR-VERDON;220;27/10/2022;20/10/2022;4
1 route de Lispach;;LA BRESSE;178;10/04/2022;01/04/2022;4
Les Bézards;;BOISMORAND;171;13/11/2022;07/11/2022;4
26 grand rue;;EGUISHEIM;279;02/02/2023;25/01/2023;1
19 route du Val;;CUSANCE;112;23/08/2024;14/08/2024;2
31 avenue Honoré de Balzac;;MALEMORT-SUR-CORRÈZE;120;11/06/2022;02/06/2022;4
Rue du Chaperon Rouge;;MONTENEUF;148;08/04/2023;29/03/2023;2
91 rue de la Vallée de l'Authie;;ROUSSENT;214;04/07/2024;26/06/2024;4
Le Village;;UVERNET-FOURS;139;13/07/2024;05/07/2024;1
36 rue du bourg;;SAVIGNY-EN-VÉRON;261;13/07/2024;08/07/2024;1
69 Chemin de l'Hermine;;CHAMONIX-MONT-BLANC;195;05/11/2020;29/10/2020;1
6 rue du Docteur Bretonneau;;CHENONCEAUX;170;20/01/2022;14/01/2022;1
1 route de la Mer;;ARGELÈS-SUR-MER;245;18/07/2021;13/07/2021;1
Le bourg;;SAINT-VICTOR-LA-RIVIÈRE;167;09/08/2023;31/07/2023;1
14 rue des basses roches;;CHASSEY-LE-CAMP;167;28/07/2022;20/07/2022;3
8 rue d'abainville;;HOUDELAINCOURT;82;08/12/2023;30/11/2023;3
le bourg;;MONTGRELEIX;184;30/01/2024;23/01/2024;2
1 route de la surie;;GROSROUVRE;297;16/02/2023;07/02/2023;4
1 grande rue;;DAMPIERRE-EN-YVELINES;297;10/10/2023;02/10/2023;1
Le bourg;;SAINT-RÉMY-DE-BLOT;155;07/08/2024;31/07/2024;3
1 place du Cheval Blanc;;YVOY-LE-MARRON;292;23/04/2023;17/04/2023;1
11 place de la mairie;;CHAMOUILLEY;288;05/10/2022;26/09/2022;1
5 place du mail;;SELLES-SAINT-DENIS;131;11/07/2020;02/07/2020;2
2 rue de Lagny;;JOSSIGNY;108;05/05/2024;25/04/2024;4
127 Le Frambourg;;LA CLUSE-ET-MIJOUX;269;10/04/2022;31/03/2022;2
22 rue Henry IV;;MARTIN-ÉGLISE;258;09/04/2022;31/03/2022;4
64 rue des anciens d'afrique du nord;;BEUZEVILLE;64;17/05/2023;09/05/2023;5
Route Départementale 231;;GUÎNES;171;07/04/2022;29/03/2022;5
17 rue Roger Bouvry;;SECLIN;98;24/03/2023;17/03/2023;4
13/15 rue Jules Verne;;ORVAULT;196;25/10/2022;20/10/2022;1
17 Place Saint Pierre;;DHUIZON;94;11/02/2023;03/02/2023;4
8 rue des Chaumelles;;CHAUX-NEUVE;209;01/07/2024;21/06/2024;1
5 route des Lacs;;CHAUX-DU-DOMBIEF;108;07/04/2022;30/03/2022;2
3 place du jeu d'arc;;MELLO;230;28/03/2024;18/03/2024;3
Lac Genin;;CHARIX;60;09/03/2022;01/03/2022;2
61 avenue du Manet;;MONTIGNY-LE-BRETONNEUX;212;30/05/2022;20/05/2022;4
72 Mehrbächel;;SAINT-AMARIN;194;05/06/2023;30/05/2023;4
490 Route du Pont;;LES HOUCHES;295;26/03/2023;21/03/2023;3
3601 route de Lyon;;LES ÉCHELLES;249;09/04/2022;30/03/2022;3
rue de la combe;;SAINTE-ENIMIE;169;18/05/2023;12/05/2023;2
23 chemin du moulin à vent;;MANOU;284;19/06/2024;11/06/2024;4
4 place du palais;;CELLES-SUR-DUROLLE;242;18/11/2022;09/11/2022;3
60 chemin de la fanfarline;;ORGON;114;07/06/2023;31/05/2023;5
Avenue François Mitterand;;NAILLOUX;277;16/02/2022;11/02/2022;1
route de nîmes, La bastide;;SAINT-JEAN-DU-GARD;288;17/12/2022;08/12/2022;5
Route de Toulouse;;SAINT-FÉLIX-LAURAGAIS;76;03/07/2022;23/06/2022;5
route départementale 952;;ROUGON;197;19/11/2022;14/11/2022;1
Le Pont de l'Alp;;LE MONÊTIER-LES-BAINS;154;06/12/2024;28/11/2024;1
5 rue Ernest Régnier;;BLAYE;73;02/03/2022;24/02/2022;4
22 avenue Jean Mermoz;;SAINT-HONORÉ-LES-BAINS;198;15/07/2020;08/07/2020;1
70  rue de l'Abbaye;;CORMEILLES;191;01/09/2023;25/08/2023;4
303 route du port;;TALLOIRES;216;13/07/2022;08/07/2022;4
3 place de la fête;;RUSTREL;273;18/10/2020;13/10/2020;3
173/174 rue de la gare;;SIORAC-EN-PÉRIGORD;291;15/04/2024;08/04/2024;3
140 Route Départementale n°5;;CROIX-MARE;99;25/08/2023;18/08/2023;1
41 Grande Rue;;SAINTE-GAUBURGE-SAINTE-COLOMBE;199;12/09/2024;05/09/2024;5
Place du Village;;LANAS;81;27/10/2021;18/10/2021;3
24 avenue de la République;;PIERRE-BUFFIÈRE;234;23/06/2022;15/06/2022;2
Le Village;;LA GRAVE;296;08/07/2022;30/06/2022;2
4 Rue Jules Ferry;;MONTPELLIER;266;13/02/2025;04/02/2025;1
23  RUE DU CARMEL;;LISIEUX;207;06/05/2024;30/04/2024;1
Le Bourg;;LASSE;211;11/08/2021;03/08/2021;2
535 Avenue de Neuvecelle;;ÉVIAN-LES-BAINS;240;19/10/2024;11/10/2024;1
2 rue de Rebreuve;;MAISNIL-LÈS-RUITZ;298;01/10/2023;25/09/2023;4
49 AVENUE DU LAC DE MAINE;;ANGERS;222;11/10/2023;06/10/2023;5
5 rue d'Isaby;;IBOS;218;09/07/2024;04/07/2024;4
30 rue Cabanis;;PARIS 14E ARRONDISSEMENT;189;01/11/2023;23/10/2023;5
15 AVENUE SAINTE THERESE;;LISIEUX;210;02/05/2024;26/04/2024;4
13 rue du général de Gaulle;;LA VANCELLE;243;14/03/2023;09/03/2023;1
3 RUE DE LA POSTE;;SANNAT;228;15/01/2024;09/01/2024;4
