Colonne1;Nom;nbr_place;Prix;Description;Durée;Période
DOMVALLIER;SENTIER DE VICTOR HUGO;2;14;"Sentier Victor Hugo 
Départs : Domvallier (église), Ramecourt ou Thiraucourt
Distance : 15 km
Temps moyen : 3h45
Balisage jaune (rond) FFRandonnée
Dans les villages où vécurent les ancêtres de Victor Hugo, le sentier vous emmène découvrir la faune et la flore à travers la vallée du Val D’Arol, cours d’eau paisible. Renseignez vous pendant la période de chasse.
A noter que plusieurs tronçons de ce circuit sont communs au sentier Sainte-Menne ainsi qu’au GR 507.

1. Remonter le village en suivant la rue Victor-Hugo. Passer devant un ancien lavoir (abri) et la mairie. En haut du coteau, aller à droite, poursuivre le chemin. De belles vues s'offrent sur les villages de Domvallier, de Ramecourt et, au loin, Thiraucourt. A la petite route, descendre à droite pour rejoindre Ramecourt. 

2. Au carrefour de la statue, aller à droite et franchir le Val d'Arol. Monter la rue de Chaumousey. Traverser la D 166 par le passage piéton et poursuivre en face sur environ 800 m.

3. Quitter la route en empruntant le chemin à droite qui sillonne à travers champs.

4. A la petite route, aller à gauche; elle devient bien vite un chemin d'exploitation.

5. Rester sur celui-ci pour parvenir à la forêt. Passer la barrière et monter dans le bois du Bas du Puits (être attentif au balisage). Au carrefour en haut, bifurquer à gauche et ensuite à droite par une petite sente pour rejoindre un chemin en cailloux. C'est à droite que se poursuit la randonnée.

6. Virer à gauche et, à l'intersection suivante (alt. 377 m), descendre à droite. Juste à la sortie du bois Saint-Lambert, emprunter le chemin à gauche. Au lieu-dit Haut de la Clef, poursuivre sur la route qui descend vers Remicourt.

7. Après le pont du ruisseau, aller à droite vers l'église et encore à droite sur la D 17. Rejoindre puis traverser Thiraucourt.

8. Juste avant la sortie du village, remonter à droite la rue qui devient vite un chemin d'exploitation. Au sommet, prendre à gauche pour retrouver le parcours emprunté à l'aller.

5. Continuer tout droit pour rejoindre la D 17 que l'on suit sur 250 m. Traverser à nouveau, avec prudence, la D 166; aller en face. Au bout de la rue des Cerisiers, tourner à gauche pour retrouver au point de départ.  
Sentier réalisé en collaboration avec la Communauté de Communes Mirecourt Dompaire et l'Astragale
Sentier et rando fiche réalisé par la Fédération Française des Randonnées Pédestres";04:26:40;SOIR
VILLERS;SENTIER DU GR 507 DE VILLERS À DOMJULIEN;5;13;"Sentier du GR 507 (21,5km)
Départ : Villers (place des monuments aux morts)
Distance : 21,5 km
Temps moyen : 5h30
Balisage jaune (rond) FFRandonnée
Le GR 507 est un sentier de liaison entre le GR 174 (Contrexéville) et le GR 5F (Charmes).
A noter que ce GR emprunte un tronçon du sentier Victor Hugo et du sentier Sainte-Menne.
Sentier réalisé en collaboration avec la Communauté de Communes Mirecourt Dompaire et l'Astragale
Sentier et rando fiche réalisé par la Fédération Française des Randonnées Pédestres";00:24:59;MATIN
PUZIEUX;SENTIER DE SAINTE MENNE;1;15;"Sentier Sainte-Menne 
Départ : Puzieux, Domvallier Ramecourt, Poussay
Distance : 12km
Temps moyen : 3h00
Balisage jaune (rond) FFRandonnée
Ce tracé en milieu rural vous fera découvrir les modes de vies traditionnels ruraux et son patrimoine.

Sentier réalisé en collaboration avec la Communauté de Communes Mirecourt Dompaire et l'Astragale 
1. C'est par la route en direction de la sortie du village coté Poussay que démarre ce circuit. Après environ 100 m, virer à droite rue des Rappes pour rejoindre l'angle du bois  de ce même nom. A la table de pique-nique, poursuivre environ 100 m jusqu'à une bifurcation.

2. S'engager à droite sur un chemin qui mène au sommet (vue sur la vallée du Val d'Arol). Prendre encore à droite en direction de Domvallier par la ligne de crête.

3.Aller à gauche pour descendre le village par la rue Victor-Hugo en passant devant la mairie et un ancien lavoir (abri). 

4. Prendre à gauche, puis au carrefour suivant ne pas descendre vers l'église mais aller tout droit dans la petite route en bas du coteau dit Côte de Bulgnéville autrefois planté de vignes (itinéraire commun avec GR 507). A la route, prendre à droite pour rejoindre l’entrée de Ramecourt. Au niveau de la statue, tourner à gauche, monter à travers le coteau et continuer tout droit en longeant le champ de foire jusqu'à hauteur du complexe sportif.

5. Prendre à droite la D 55g vers le château d'eau pour atteindre le carrefour du cimetière.

6. Emprunter à gauche la belle allée ""Des Dames"" pour accéder au petit passage après la mairie qui conduit à la place de l'ancien puits couvert. Descendre à droite quelques dizaines de mètres, passer devant la fontaine ronde, rue des Halles et aller ensuite à gauche chemin du Stade.

5. Au terrain de sports, emprunter à droite la D 55g vers le clavaire et l'arbre de Sainte-Menne. Continuer sur environ 200 m.

7. Poursuivre en face et, après le bâtiment, virer à droite. Au carrefour suivant, aller à gauche le long d'une imposante haie pour rejoindre le chemin Marchand que l'on emprunte à droite.

2. Rejoindre Puzieux par l'itinéraire emprunté à l'aller.
Sentier et rando fiche réalisé par la Fédération Française des Randonnées Pédestres";04:11:32;SOIR
ÉPINAL;CIRCUIT ALLER EPINAL-BOUZEY;3;14;"Merci au club vosgien pour la réalisation de cette randonnée et du travail fait par ses équipes tout au long de l’année pour baliser et entretenir ces chemins.

Balisage: triangle vert 14,3km
Partez à la découverte d'un patrimoine exceptionnel et de paysages plein de charme !
Le circuit de 14,3 km mène au réservoir de Bouzey qui alimente le point le plus haut du canal de l'Est. C'est donc un parcours en légère montée à l'allée, souvent ombragé et sans réelle difficulté. Vous aurez quelques routes à traversée sur des passages protégés marqués de vert.";00:22:09;SOIR
STENAY;CIRCUIT DÉCOUVERTE DE STENAY : LES ANCIENS REMPARTS;5;12;Jolie petite ville de caractère, Stenay vous invite à découvrir ses multiples trésors à travers trois circuits faisant chacun environ 1h30 de balade.;01:30:10;SOIR
STENAY;CIRCUIT DÉCOUVERTE DE STENAY : AU COEUR DE LA VILLE;6;10;Jolie petite ville de caractère, Stenay vous invite à découvrir ses multiples trésors à travers trois circuits faisant chacun environ 1h30 de balade.;04:44:26;SOIR
LA BRESSE;CIRCUIT POUSSETTE LA BASSE DES FEIGNES;6;14;"DEPART/ARRIVEE : parking à côté de l’Auberge du Couchetat à la Basse des Feignes ; à 3.5 km du centre-ville. DISTANCE : 2,5 km – circuit en aller/retour. TYPE DE TERRAIN : route goudronnée et chemin de terre. TYPE DE POUSSETTE RECOMMANDE : tous types de poussettes. TOILETTES PUBLIQUES SUR PLACE : non, possibilité à l'Auberge du Couchetat pour les clients. TABLES PIQUE NIQUE/BANCS : Non. POUR PROLONGER LA BALADE… Arrivés au bout de l’Impasse des Huttes, vous pouvez poursuivre votre balade sur le Chemin des Huttes. La pente est un peu plus forte, mais vous pourrez également faire demi-tour quand vous le souhaiterez. POUR LES PLUS GRANDS. Possibilité de visiter un élévage de lamas et alpagas à proximité de la balade. A VOIR PENDANT LA BALADE : Cette balade à flanc de coteau vous offre de magnifiques points de vue sur l’ensemble du territoire de La Bresse. BON A SAVOIR : le versant abrupt derrière l’auberge du Couchetat servait autrefois de « lançoir » : technique utilisée par les bûcherons de l’époque qui faisaient glisser les grumes de sapin dans la pente jusqu’à un chemin carrossable, d’où elles étaient ensuite chargées sur des charrettes à bœufs ou à chevaux. Possibilité de louer une poussette tout terrain à la Résidence le Couarôge.";04:52:55;APRES-MIDI
ÉPINAL;CIRCUIT DES DIX;4;12;"Merci au club vosgien pour la réalisation de cette randonnée et du travail fait par ses équipes tout au long de l'année pour baliser et entretenir ces chemins.

Balisage anneau vert
Agréable parcours urbain et suburbain traversant collines et forêts sous-vosgiennes avec magnifiques points de vue sur la ville.
A la sortie du parking, prendre à gauche le balisage o par la rue des Soupirs sur 50 m, puis monter les escaliers à gauche et prendre un peu plus loin à droite le chemin des Gardes. En haut des escaliers, vous débouchez sur un sentier en balcon qui vous permet de découvrir un beau panorama sur la ville et vous mène rue des Corvées. Montez à gauche sur 30 m, puis prenez à droite le chemin du Mont Carmel. Traversez le bois pour descendre la rue des Soupirs en direction de la Quarante Semaine. Suivez le balisage o pour arriver à la fontaine Guéry après être passé sous un pont en grès portant une ancienne voie ferrée qui desservait la ceinture fortifiée d'Épinal.
Depuis la fontaine, prendre à droite le sentier qui serpente au pied de roches en surplomb. Montez le coteau pour déboucher en crête à proximité d'une plate forme portant une antenne haute de 100 m.
Continuez sur la gauche pour arriver près d'une stèle érigée à la mémoire de résistants fusillés en 1944. Puis vous traversez longuement une forêt variée composée de hêtres, chênes, sapins, épicéas et pins sylvestres en suivant toujours le balisage o.
En sortant de la forêt, après la ferme, vous trouvez hors circuit, à 115 m à gauche, la croix des Pestiférés.
Reprendre le sentier à travers champs. A proximité d'une ancienne ferme, tournez à gauche sur une route pour ensuite prendre à droite le chemin qui vous ramène au point de départ via le point de vue, la rue de la Pelle et la ruelle du coteau.";00:57:53;MATIN
ÉPINAL;CIRCUIT DES GRANDS BOIS;3;15;"Merci au club vosgien pour la réalisation de cette randonnée et du travail fait par ses équipes tout au long de l’année pour baliser et entretenir ces chemins.

Balisage disque Bleu 20 km

Randonnée ombragée en forêt communale d'Épinal, abritant des arbres et des sites remarquables.
A l'entrée de la forêt prendre à droite le chemin forestier balisé (disque plein couleur bleu). Après le passage du ruisseau, continuer à gauche sur 600 m. S'engager ensuite sur le chemin à gauche, balisé (triangle plein couleur bleu) puis sur le chemin du Void des roches sur 400 m. Dans le virage, à la croisée des chemins, prendre à droite le sentier qui mène à la roche de la Grenouille.
Un peu plus loin, prendre le sentier des ducs, balisé (losange couleur jaune) qui vous conduit à la croix des Bossottes après être passé près d'un grand Douglas, arbre remarquable. Prendre à gauche le chemin du Saint-Oger pour arriver à un carrefour.
S'engager sur la route forestière de Maisonfaing sur 3 km pour passer à proximité des ""grands Douglas"", ensemble d'arbres remarquables situé légèrement hors circuit.
Quitter les grands Douglas et prendre à droite le sentier balisé (disque plein couleur bleu) et (losange couleur jaune) en direction des roches Charlot en suivant un joli petit vallon rocheux. Franchir le ruisseau à droite et continuer sur le sentier jusqu'à la roche goutteuse.
Un peu après cette dernière, prendre le chemin balisé (croix couleur rouge) sur 600 m et au carrefour prendre à droite la tranchée de Charmois pour arriver à nouveau à la croix des Bossottes. Tourner à gauche sur le chemin des Prés Barthes. Quelque 100 m plus loin, s'engager sur le sentier balisé (disque plein couleur bleu) pour rejoindre le point de départ, parking de la Folie Finot.";04:47:46;APRES-MIDI
DANNE-ET-QUATRE-VENTS;Circuit des sept sculptures;3;16;"Une promenade familiale pédagogique, sur le thème de l'eau agrémentée de magnifiques sculptures dans des blocs de grès évoquant les Fables de Jean de La Fontaine ou d'Emile Erckmann.

Pour télécharger le circuit en PDF, copiez ceci dans la barre de recherche de votre navigateur : 
https://www.paysdephalsbourg.com/wp-content/uploads/2022/05/19-CIRCUIT-DES-7-SCULPTURES.pdf";03:45:19;APRES-MIDI
MONTENACH;Circuit des collines (fermé);4;16;Depuis la maison de la nature du Pays de Sierck, le circuit serpente à travers les collines nées de l'entaille du plateau lorrain, classées Réserve Naturelle Nationale. Dans ces pelouses à orchidées, ce sont plus de 500 espèces végétales et animales qui s'épanouissent. La poursuite de l'itinéraire vers Rustroff et Kirsch-lès-Sierck est l'occasion de découvrir un patrimoine sauvegardé et des points de vue remarquables. En cas de pâturage par les brebis, les promeneurs accompagnés de chiens sont invités à emprunter un itinéraire raccourci.;03:14:39;SOIR
MONTENACH;Circuit du diablotin (fermé);4;13;"Vous allez apprécier ce circuit VTT au départ de la maison de la nature de Montenach. Sur des chemins le plus souvent  larges vous allez vous élever sur le plateau de Kirsch-lès-Sierck, pour redescendre ensuite dans la vallée de Manderen où vous ne manquerez pas d'admirer le paysage avec en toile de fond le château de Malbrouck. Passé ce chef d'oeuvre architectural et le village de Manderen, vous vous enfoncerez dans le vallon du diable d'où jaillit la source du Husprung. Retour ensuite par le plateau agricole avant un passage à proximité de la réserve nationale de Montenach.
Ce circuit, difficile est réservé au vététiste entrainé.";02:26:46;SOIR
MONTENACH;Circuit de l'altenberg (fermé);2;18;Ce circuit difficile vous emmène sur l'un des plus beaux spots de VTT du Pays de Sierck. Il vous faudra de l'énergie pour vous hisser du fond de la vallée de Montenach sur le plateau de la ferme de Koenigsberg. Mais après l'effort le réconfort, les points de vue sont saisissants. S'en suit une découverte tranquille du bois de Hunting, pays de la cerise, puis le circuit replonge dans le fond de la vallée, vous n'aurez plus qu'à rejoindre votre point de départ.;03:06:55;APRES-MIDI
ALLEMANS;Boucle d'Allemans;4;12;Jolie balade dans la vallée de la Dronne, dans une ancienne paroisse ayant appartenu aux templiers dont il subsiste aujourd’hui l’église romane fortifiée et une croix templière dans une vieille maison .;01:45:08;SOIR
ALLEMANS;Boucle d'Allemans;1;12;Jolie balade dans la vallée de la Dronne, dans une ancienne paroisse ayant appartenu aux templiers dont il subsiste aujourd’hui l’église romane fortifiée et une croix templière dans une vieille maison .;01:36:50;MATIN
ALLEMANS;Boucle du bourg;5;16;J;01:20:21;APRES-MIDI
ALLEMANS;Boucle du bourg;6;20;J;03:36:07;APRES-MIDI
HENDAYE;Balades à Roulettes n° 26 l'île des Faisans à Hendaye;6;18;Parcours bien aménagé pour poussette, petit vélo, fauteuil roulant. La promenade longe la rive droite de la Bidassoa. Vue sur l’île des Faisans, le parc écologique Plaiaundi, Irun et les Pyrénées.;00:40:53;MATIN
PIERRE-PERCÉE;CIRCUIT DES DEUX LACS;5;12;"Le départ de cette boucle se fait au barrage de Pierre Percée, sur le parking. 
Monter à gauche de la route vers le belvédère (descriptif du barrage), continuer sur une cinquantaine de mètres puis traverser la route et prendre l'escalier pour prendre la direction de la Vierge de Para. Prendre 20 mètres à droite avant la Vierge de Para pour redescendre vers la base de loisirs du Pôle Sports Nature où vous pourrez faire une halte. 
Reprendre la route en direction de Lajus en passant par la Fontaine Jacquot, traverser la route et passer sur le pont puis prendre à droite et passer devant le monument de la guerre de 1870.
Continuer à travers bois en suivant les anneaux bleus qui vous ramèneront au barrage. 
A voir le long du parcours : barrage de Pierre Percée, point de vue sur le lac, Vierge de Para, base de loisirs, fontaine Jacquot, monument de Lajus.";01:42:05;APRES-MIDI
SAINT-DIÉ-DES-VOSGES;BALADE RANDOLAND A SAINT-DIE-DES-VOSGES;1;19;"Randoland, ce sont des balades ludiques pour petits et grands qui vous permettront de découvrir notre territoire en famille et en vous amusant ! 
La capitale du Massif Vosgien offre aux visiteurs un cadre naturel exceptionnel et un patrimoine remarquable riche en découvertes. Les trésors du patrimoine déodatien dessinent un parcours artistique hors du commun. La cathédrale, bâtie en grès rose typique des Vosges, mêle harmonieusement les styles, notamment roman, gothique, classique, moderne. Un ensemble de vitraux contemporains unique en Europe, créé par et autour de Jean Bazaine, rehausse l’ensemble. Et la ville vous réserve bien d’autres surprises : usine verte signée Le Corbusier, Musée Pierre-Noël, façades Art Nouveau…
Avant 1507, le mot « Amérique » n’apparaissait sur aucun planisphère. Mais cela a changé sous la direction d’un cartographe prénommé Martin à Saint-Dié-des-Vosges. Alors que le Nouveau Monde comme on l’appelait à l’époque avait été découvert quelques années plus tôt par Christophe Colomb, un autre navigateur du nom de Vespucci comprit que ces nouvelles terres faisaient partie d’un nouveau continent.
Afin de remettre à jour la carte du monde, ce fameux Martin ainsi que d’autres hommes créèrent ce planisphère en nommant ce nouveau continent « America », en l’honneur de l’explorateur Amerigo Vespucci.
L’Inspecteur Rando te lance un défi : retrouver le nom de ce Martin qui a donné son nom à ce célèbre planisphère. Seras-tu à la hauteur ?
Les fiches détaillées des parcours sont en vente dans nos Offices de Tourisme, une récompense vous sera attribuée.";01:47:32;SOIR
PAUSSAC-ET-SAINT-VIVIEN;Boucle de la Peyre Dermale;1;18;"Le village de Paussac et son causse sont un terrain de randonnée
idéal.La pierre omniprésente se retrouve dans le patrimoine : le dolmen de Peyrelevade,la Peyre Dermale ou « pierre aux sacrifices », le village semi troglodytique du vieux Breuil, les falaises d’escalade et l’église romane.";01:11:50;APRES-MIDI
PAUSSAC-ET-SAINT-VIVIEN;Boucle de la Peyre Dermale;1;20;"Le village de Paussac et son causse sont un terrain de randonnée
idéal.La pierre omniprésente se retrouve dans le patrimoine : le dolmen de Peyrelevade,la Peyre Dermale ou « pierre aux sacrifices », le village semi troglodytique du vieux Breuil, les falaises d’escalade et l’église romane.";03:36:02;MATIN
LES ROUSSES;Activités by Sogestar : Activités nordiques et base nautique;4;13;Faites le plein d'activités été comme hiver à la  Station des Rousses !;00:33:24;APRES-MIDI
MONTAUVILLE;AU BOIS-LE-PRÊTRE – CIRCUIT DE LA CROIX DES CARMES;3;19;"La Croix des Carmes est un monument commémoratif de la Première Guerre Mondiale, situé sur le territoire de la commune de Montauville dans le département de la Meurthe et Moselle près de Pont à Mousson. La Croix des Carmes fut l'un des secteurs où se déroulèrent les combats du Bois Le Prêtre en Lorraine.
A voir : maison forestière dite "" Du Père Hilarion ""et sa fontaine, témoins de la guerre de 1914.";02:13:10;MATIN
SAINT-HUBERT;La source de charlemagne;5;15;"Ce circuit en pleine nature est une invitation à la découverte de la forêt domaniale de Villers-Bettnach et de sa nature préservée. La légende dit que Charlemagne y aurait fait jaillir une source sous le sabot de son cheval, puis aurait fait construire une chapelle à l'emplacement actuel de la chapelle de Rabas.
Ne manquez pas les vestiges de l'ancienne abbaye cistercienne, l'étang des moines et les chemins bordés d'étranges affleurements gréseux à Saint-Hubert.";04:20:16;APRES-MIDI
SAINT-HUBERT;La source de charlemagne en vtt;1;17;"Ce circuit en pleine nature est une invitation à la découverte de la forêt domaniale de Villers-Bettnach et de sa nature préservée. La légende dit que Charlemagne y aurait fait jaillir une source sous le sabot de son cheval, puis aurait fait construire une chapelle à l'emplacement actuel de la chapelle de Rabas.
Ne manquez pas les vestiges de l'ancienne abbaye cistercienne, l'étang des moines et les chemins bordés d'étranges affleurements gréseux à Saint-Hubert.";03:42:15;SOIR
LA BRESSE;PARCOURS LUDIQUE SUR LA PISTE DE LA FORÊT BLANCHE À LA BRESSE;4;11;Pour les familles avec enfants de 4 à 12 ans qui souhaitent parcourir la piste piétons / raquettes de la forêt blanche, des fiches circuits conçues comme un jeu de piste sont remises gratuitement en caisse pour s'amuser tout en se baladant ! L'accès à la piste de la forêt blanche est payant (gratuit pour les enfants de moins de 6 ans). Attention : L'accès au circuit Randoland La Bresse-Lispach est ouvert uniquement lorsque la piste de la forêt blanche est ouverte.;02:26:22;MATIN
GOMELANGE;Les balcons de la nied;6;19;Nature et tradition caractérisent cette boucle de randonnée. Ici, les paysages ondulés forment un véritable belvédère sur la Nied, large vallée inondable dont la zone naturelle est reconnue au plan européen. Les villages et hameaux qui se succèdent ont su préserver leur architecture rurale. Le Musée de la Vieille Maison de Gomelange en est le plus beau témoin.;01:43:59;APRES-MIDI
PLAINFAING;CIRCUIT - CASCADE DU RUDLIN - GAZON DU FAING;5;15;"Durée : 3H30 - Distance : 12 km –: Dénivelé : 600 m en montée
Balisage rouge et bleu

Cette belle randonnée est l’une des plus pittoresques du Pays de la Haute-Meurthe. Vous pourrez découvrir ainsi une variété de paysages sans cesse changeants, de la vallée aux chaumes d’altitude, alternant entre l’eau, le minéral et le végétal.
Départ Plainfaing, direction Le Valtin (CD23) jusqu’au lieu-dit « Le Rudlin ».
Prendre à gauche avant le pont, se garer près de l’étang et prendre le chemin à droite en direction de l’ancienne auberge, puis le petit sentier avant l’auberge qui  monte à la cascade. Poursuivre par le sentier rouge et continuer jusqu’à la Route des Crêtes :
Traverser la route et aller à la Roche des Fées, puis à l’auberge du Gazon du Faing où vous pourrez vous restaurer.
Prendre ensuite le sentier à gauche après l’auberge menant vers les Hautes-Chaumes (table d’orientation à 1306 m, érigée par le Syndicat d’Initiative de Plainfaing) vue magnifique sur le Lac des Truites, Le Hohneck, La Plaine d’Alsace. Longez la Réserve Naturelle  du Gazon du Faing avec superbe vue  sur  le Lac Blanc.
Pour la descente, suivre le sentier sur la gauche, traverser la Route des Crêtes et descendre dans le chemin presque en face, prendre à gauche à la patte d’oie, vous longez un petit torrent permettant de vous désaltérer. Traverser le pont et descendre par le sentier du Ruhloch (triangle bleu) qui vous ramène à votre point de départ.";02:13:21;SOIR
SERVIGNY-LÈS-SAINTE-BARBE;La fontaine à lions;2;10;Depuis Servigny-lès-Sainte-Barbe, village-rue typiquement lorrain, le circuit se poursuit dans un petit vallon resté sauvage où fontaines et ruisseaux confèrent une atmosphère apaisante à la balade;03:29:19;SOIR
